wmi,country,manufacturer,brand
5XY,USA,Hyundai USA SUV,Hyundai
5YJ,USA,Tesla,Tesla
# === BRAZIL (9) ===
8AC,Argentina,Mercedes-Benz Argentina,Mercedes-Benz
8AD,Argentina,Peugeot Argentina,Peugeot
8AF,Argentina,Ford Argentina,Ford
8AG,Argentina,Chevrolet Argentina,Chevrolet
8AJ,Argentina,Toyota Argentina,Toyota
8AK,Argentina,Suzuki Argentina,Suzuki
8AP,Argentina,Fiat Argentina,Fiat
8AW,Argentina,Volkswagen Argentina,Volkswagen
8GG,Chile,Chevrolet Chile,Chevrolet
8LD,Chile,Renault Chile,Renault
93H,Brazil,Honda Brazil,Honda
93R,Brazil,Toyota Brazil,Toyota
93U,Brazil,Audi Brazil,Audi
93V,Brazil,Audi Brazil,Audi
93W,Brazil,Audi Brazil,Audi
93X,Brazil,Mitsubishi Brazil,Mitsubishi
93Y,Brazil,Renault Brazil,Renault
93Z,Brazil,Fiat Brazil,Fiat
935,Brazil,Volkswagen Trucks Brazil,Volkswagen
936,Brazil,Peugeot Brazil,Peugeot
937,Brazil,Citroen Brazil,Citroen
94D,Brazil,Nissan Brazil,Nissan
953,Brazil,Iveco Brazil,Iveco
9BD,Brazil,Fiat Brazil,Fiat
9BF,Brazil,Ford Brazil,Ford
9BG,Brazil,General Motors Brazil,Chevrolet
9BH,Brazil,Hyundai Brazil,Hyundai
9BM,Brazil,Mercedes-Benz Brazil,Mercedes-Benz
9BR,Brazil,Toyota Brazil,Toyota
9BS,Brazil,Scania Brazil,Scania
9BV,Brazil,Volvo Brazil,Volvo
9BW,Brazil,Volkswagen Brazil,Volkswagen
9C2,Brazil,Honda Motorcycle Brazil,Honda
9C6,Brazil,Yamaha Motorcycle Brazil,Yamaha
9FB,Brazil,Renault Brazil,Renault
# === AUSTRALIA (6) ===
6F4,Australia,Nissan Motors Australia,Nissan
6F5,Australia,Ford Australia,Ford
6FP,Australia,Ford Australia,Ford
6G1,Australia,Holden,Holden
6G2,Australia,Pontiac/HSV Australia,HSV
6H8,Australia,Holden,Holden
6MM,Australia,Mitsubishi Motors Australia,Mitsubishi
6T1,Australia,Toyota Australia,Toyota
# === NEW ZEALAND (7) ===
7A0,New Zealand,Toyota New Zealand,Toyota
7A3,New Zealand,Honda New Zealand,Honda
7A4,New Zealand,Mitsubishi New Zealand,Mitsubishi
7A8,New Zealand,Nissan New Zealand,Nissan
